Alice,ALICE001,95000,92.5,true,2024-10-15,2024-10-15T14:30:00
Bob,BOB002,0,0.0,false,2024-10-14,2024-10-14T10:15:00
Charlie,CHAR003,1000000,100.0,true,2024-10-13,2024-10-13T16:45:00
Diana,DIANA04,92000,91.0,true,2024-10-12,2024-10-12T09:20:00
Eve,EVEE005,68000,82.3,false,2024-10-11,2024-10-11T13:10:00
Frank,FRANK06,99000,94.7,true,2024-10-10,2024-10-10T11:05:00
Grace,GRACE07,81000,86.2,true,2024-10-09,2024-10-09T15:30:00
Henry,HENRY08,73000,84.1,false,2024-10-08,2024-10-08T12:00:00
Iris,IRIS009,89000,90.5,true,2024-10-07,2024-10-07T14:15:00
Jack,JACK010,76000,87.8,true,2024-10-06,2024-10-06T10:45:00

